Clients,Average,Std.Dev
50,2.80000,1.90438
50,2.86667,2.09338
50,2.80000,2.00666
50,2.86667,2.12498
50,2.86667,2.09338
50,2.93333,2.01550
50,2.80000,1.93907
50,2.93333,2.32283
50,2.86667,2.15613
50,2.80000,1.90438
50,2.86667,2.15613
50,2.93333,1.98214
50,2.20000,1.42361
50,2.80000,2.19697
50,2.53333,1.85712
50,2.80000,2.00666
50,2.93333,2.08060
50,2.80000,2.19697
50,2.86667,2.09338
50,2.80000,2.19697
50,2.86667,2.15613
50,2.80000,1.93907
50,2.80000,2.10396
50,2.26667,1.80616
50,2.93333,2.11240
50,2.93333,1.98214
50,2.93333,2.08060
50,2.26667,1.56915
50,2.26667,1.61107
50,2.86667,1.99555
50,2.80000,2.00666
50,2.93333,2.11240
50,2.20000,1.79629
50,2.73333,2.14372
50,2.93333,2.90899
50,6.83333,6.25611
50,5.33333,3.90157
50,5.83333,6.30916
50,6.66667,6.87184
50,7.16667,6.30916
50,7.16667,6.91416
50,7.00000,5.50757
50,7.00000,5.41603
50,5.16667,3.48409
50,6.33333,7.06321
50,7.00000,5.41603
50,6.83333,5.45945
50,5.33333,4.06885
50,6.50000,6.82520
50,6.50000,6.99405
50,6.00000,6.80686
50,6.16667,6.71855
50,7.16667,6.51707
50,6.00000,5.97216
50,6.16667,7.00991
50,6.66667,5.34374
50,5.66667,3.68179
50,5.33333,3.81517
50,5.83333,6.46572
50,4.66667,3.72678
50,5.66667,5.61743
50,7.00000,5.41603
50,5.16667,3.48409
50,6.33333,6.64998
50,5.83333,6.74331
50,5.16667,3.48409
50,5.83333,6.30916
50,6.33333,6.59966
50,7.00000,6.58281
50,6.33333,6.64998
50,6.16667,6.25611
50,7.16667,7.17441
50,6.00000,6.24500
50,6.33333,6.64998
50,6.83333,5.75664
50,5.83333,6.30916
50,5.00000,3.65148
50,6.33333,6.18241
50,6.33333,5.73488
50,6.00000,6.80686
50,6.66667,6.87184
50,6.83333,5.58022
50,6.83333,5.24140
50,5.83333,5.89962
50,6.33333,5.73488
50,3.20000,2.48193
50,3.70000,3.00167
50,3.70000,3.52278
50,3.60000,3.13688
50,3.60000,3.44093
50,3.10000,2.50799
50,3.70000,3.46554
50,3.40000,2.33238
50,3.60000,3.20000
50,3.30000,2.57099
50,3.50000,3.17017
50,3.90000,2.77308
50,3.50000,2.83725
50,3.10000,2.50799
50,3.40000,2.15407
50,3.30000,3.03480
50,3.50000,3.17017
50,3.90000,2.58650
50,3.60000,2.49800
50,3.30000,2.36854
50,3.50000,3.07409
50,3.60000,3.26190
50,3.50000,3.17017
50,3.30000,2.79464
50,3.60000,3.29242
50,3.60000,3.44093
50,3.30000,2.41039
50,3.70000,3.28786
50,3.40000,2.33238
50,3.40000,2.15407
50,3.70000,3.22645
50,3.60000,3.00666
50,3.30000,2.49199
50,3.90000,2.58650
50,3.50000,2.41868
50,3.70000,3.46554
50,3.60000,3.32265
50,3.40000,2.24499
50,3.50000,3.17017
50,3.90000,2.80891
50,3.50000,2.83725
50,3.50000,2.33452
50,3.10000,3.26956
50,3.70000,3.25730
50,3.20000,2.18174
50,3.60000,3.32265
50,3.50000,2.29129
50,3.30000,2.49199
50,3.70000,3.13209
50,3.60000,3.03974
50,3.38462,2.73266
50,3.23077,2.57664
50,3.30769,3.02260
50,3.61538,2.67577
50,3.30769,3.02260
50,3.46154,2.53029
50,3.23077,2.57664
50,3.61538,2.67577
50,3.38462,2.92308
50,3.61538,2.84303
50,3.38462,2.84303
50,3.38462,3.07692
50,3.38462,2.73266
50,3.23077,2.72182
50,3.46154,2.79052
50,3.61538,2.76067
50,3.38462,2.67577
50,3.53846,2.81795
50,3.61538,2.86996
50,3.46154,2.67798
50,3.38462,2.92308
